SN,ENG,FRENCH
1,abide,respecter
2,about,sur
3,above,au dessus
4,abroad,à l'étranger
5,absence,absence
6,abuse,abuser de
7,according,selon
8,account,Compte
9,accuse,accuser
10,acquainted,connaissance
11,action,action
12,advantage,avantage
13,advice,Conseil
14,affairs,affaires
15,affection,affection
16,affections,affections
17,afraid,peur
18,after,après
19,afterwards,ensuite
20,again,encore
21,alive,vivant
22,almost,presque
23,alone,seul
24,along,le long de
25,already,déjà
26,although,bien que
27,always,toujours
28,ambition,ambition
29,ancient,ancien
30,angel,ange
31,anger,colère
32,another,un autre
33,answer,répondre
34,anything,n'importe quoi
35,apparel,vêtements
36,appear,apparaître
37,appears,apparaît
38,approach,approche
39,argument,argument
40,ariel,Ariel
41,armour,armure
42,aside,de côté
43,asleep,endormi
44,assure,assurer
45,athens,Athènes
46,attend,assister
47,attended,assisté
48,authority,autorité
49,avoid,éviter
50,awake,éveillé
51,awhile,quelque temps
52,banish,bannir
53,barren,Dénudé
54,bassianus,bassianus
55,bastard,Connard
56,battle,bataille
57,beard,barbe
58,bearing,palier
59,bears,ours
60,beast,la bête
61,beaten,battu
62,beauty,beauté
63,because,car
64,become,devenir
65,bedford,Bedford
66,before,avant
67,beggar,mendiant
68,begin,commencer
69,behalf,nom
70,behind,derrière
71,behold,voir
72,being,étant
73,believe,croyez
74,belike,être comme
75,below,au dessous de
76,benefit,avantage
77,besides,outre
78,betray,trahir
79,better,mieux
80,between,entre
81,beyond,au-delà
82,birth,naissance
83,bishop,évêque
84,bitter,amer
85,black,noir
86,blame,faire des reproches
87,bless,bénir
88,blessing,bénédiction
89,blest,heureux
90,blind,aveugle
91,blood,du sang
92,blows,coups
93,blunt,cru
94,blush,rougir
95,bodies,corps
96,bones,des os
97,borne,supporté
98,bottom,bas
99,bought,acheté
100,bound,lié
101,bounty,prime
102,brain,cerveau
103,brains,cerveaux
104,brave,courageux
105,breast,Sein
106,breath,souffle
107,breed,race
108,brief,bref
109,bright,brillant
110,bring,apporter
111,broke,cassé
112,brook,ruisseau
113,brother,frère
114,brought,apporté
115,brows,sourcils
116,burden,fardeau
117,buried,enterré
118,burning,brûlant
119,business,Entreprise
120,cannot,ne peux pas
121,capitol,Capitole
